file1,"cod_event_in;id_volcan;est;componente;id_evento_macro;cod_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descripcion;label_event;amplitud;coda;frecuencia
33;99;NBL;Z;20171212_013610.897 ;NBLZ12-12-2017_01:35:30.446;1;2021-07-04 23:27:24.475 ;4Testing;2017-12-12T01:36:10.897Z;2017-12-12T01:35:30.621Z;0;0;0;-23919;c;0002-07-21T00:00:00Z;sin comentario;1;14.846;12-12-2017 1:35;1
34;99;FU2;Z;20171212_013726.266 ;FU2Z12-12-2017_01:36:53.994;1;2021-07-04 23:27:24.476 ;4Testing;2017-12-12T01:37:26.266Z;2017-12-12T01:37:26.286Z;0;0;0;-57244;c;0002-07-21T00:00:00Z;sin comentario;1;38.005;12-12-2017 1:37;1
35;99;FU2;Z;20171212_013726.266 ;FU2Z12-12-2017_01:37:22.634;1;2021-07-04 23:27:24.477 ;4Testing;2017-12-12T01:37:26.722Z;2017-12-12T01:37:26.282Z;0;0;0;-142365;c;0002-07-21T00:00:00Z;sin comentario;1;38.008;12-12-2017 1:37;1
36;99;FU2;Z;20171212_013828.488 ;FU2Z12-12-2017_01:37:40.483;1;2021-07-04 23:27:24.478 ;4Testing;2017-12-12T01:38:28.488Z;2017-12-12T01:37:57.544Z;0;0;0;-4211;c;0002-07-21T00:00:00Z;sin comentario;1;55.644;12-12-2017 1:37;1
37;99;FU2;Z;20171212_013828.488 ;FU2Z12-12-2017_01:37:53.783;1;2021-07-04 23:27:24.479 ;4Testing;2017-12-12T01:38:28.546Z;2017-12-12T01:37:57.542Z;0;0;0;-97721;c;0002-07-21T00:00:00Z;sin comentario;1;28.529;12-12-2017 1:38;1
38;99;FU2;Z;20171212_013828.488 ;FU2Z12-12-2017_01:38:27.153;1;2021-07-04 23:27:24.479 ;4Testing;2017-12-12T01:38:31.112Z;2017-12-12T01:38:30.802Z;0;0;0;-81216;c;0002-07-21T00:00:00Z;sin comentario;1;30.538;12-12-2017 1:38;1
39;99;FU2;Z;20171212_013914.044 ;FU2Z12-12-2017_01:38:56.022;1;2021-07-04 23:27:24.480 ;4Testing;2017-12-12T01:39:14.044Z;2017-12-12T01:39:17.394Z;0;0;0;-134012;c;0002-07-21T00:00:00Z;sin comentario;1;14.921;12-12-2017 1:39;1
40;99;FU2;Z;20171212_014103.442 ;FU2Z12-12-2017_01:41:00.289;1;2021-07-04 23:27:24.481 ;4Testing;2017-12-12T01:41:03.442Z;2017-12-12T01:41:03.982Z;0;0;0;-69797;c;0002-07-21T00:00:00Z;sin comentario;1;40.529;12-12-2017 1:41;1
41;99;FU2;Z;20171212_014328.663 ;FU2Z12-12-2017_01:43:18.307;1;2021-07-04 23:27:24.482 ;4Testing;2017-12-12T01:43:28.663Z;2017-12-12T01:43:18.441Z;0;0;0;-1398;c;0002-07-21T00:00:00Z;sin comentario;1;63.096;12-12-2017 1:43;1
42;99;FU2;Z;20171212_014444.492 ;FU2Z12-12-2017_01:44:40.405;1;2021-07-04 23:27:24.483 ;4Testing;2017-12-12T01:44:44.492Z;2017-12-12T01:44:44.032Z;0;0;0;11319;c;0002-07-21T00:00:00Z;sin comentario;1;24.927;12-12-2017 1:44;1
43;99;FU2;Z;20171212_014604.472 ;FU2Z12-12-2017_01:46:00.384;1;2021-07-04 23:27:24.484 ;4Testing;2017-12-12T01:46:04.472Z;2017-12-12T01:46:04.022Z;0;0;0;-0.60527;c;0002-07-21T00:00:00Z;sin comentario;1;33.962;12-12-2017 1:46;1
44;99;FU2;Z;20171212_014704.498 ;FU2Z12-12-2017_01:46:18.213;1;2021-07-04 23:27:24.484 ;4Testing;2017-12-12T01:47:04.498Z;2017-12-12T01:46:26.362Z;0;0;0;-0.883;c;0002-07-21T00:00:00Z;sin comentario;1;23.568;12-12-2017 1:46;1
45;99;FU2;Z;20171212_014758.002 ;FU2Z12-12-2017_01:47:53.911;1;2021-07-04 23:27:24.485 ;4Testing;2017-12-12T01:47:58.002Z;2017-12-12T01:47:57.562Z;0;0;0;-19991;c;0002-07-21T00:00:00Z;sin comentario;1;43.827;12-12-2017 1:48;1
46;99;FRE;Z;20171212_015044.042 ;FREZ12-12-2017_01:50:39.928;1;2021-07-04 23:27:24.486 ;4Testing;2017-12-12T01:50:44.042Z;2017-12-12T01:50:41.672Z;0;0;0;-0.58482;c;0002-07-21T00:00:00Z;sin comentario;1;108.644;12-12-2017 1:50;1
47;99;SHG;Z;20171212_015404.772 ;SHGZ12-12-2017_01:54:02.984;1;2021-07-04 23:27:24.487 ;4Testing;2017-12-12T01:54:04.772Z;2017-12-12T01:54:06.362Z;0;0;0;118675;c;0002-07-21T00:00:00Z;sin comentario;1;23.827;12-12-2017 1:54;1
48;99;FRE;Z;20171212_015404.772 ;FREZ12-12-2017_01:54:01.864;1;2021-07-04 23:27:24.488 ;4Testing;2017-12-12T01:54:05.052Z;2017-12-12T01:54:05.662Z;0;0;0;105449;c;0002-07-21T00:00:00Z;sin comentario;1;33.069;12-12-2017 1:54;1
49;99;SHG;Z;20171212_015611.962 ;SHGZ12-12-2017_01:56:09.781;1;2021-07-04 23:27:24.488 ;4Testing;2017-12-12T01:56:11.962Z;2017-12-12T01:56:13.732Z;0;0;0;145341;c;0002-07-21T00:00:00Z;sin comentario;1;39.036;12-12-2017 1:56;1
50;99;FRE;Z;20171212_015611.962 ;FREZ12-12-2017_01:56:09.121;1;2021-07-04 23:27:24.489 ;4Testing;2017-12-12T01:56:13.682Z;2017-12-12T01:56:14.752Z;0;0;0;104688;c;0002-07-21T00:00:00Z;sin comentario;1;54.836;12-12-2017 1:56;1
51;99;FRE;Z;20171212_015717.584 ;FREZ12-12-2017_01:57:00.410;1;2021-07-04 23:27:24.490 ;4Testing;2017-12-12T01:57:17.584Z;2017-12-12T01:57:18.234Z;0;0;0;-41035;c;0002-07-21T00:00:00Z;sin comentario;1;70.863;12-12-2017 1:57;1
52;99;SHG;Z;20171212_015803.919 ;SHGZ12-12-2017_01:57:04.710;1;2021-07-04 23:27:24.491 ;4Testing;2017-12-12T01:58:03.919Z;2017-12-12T01:57:22.614Z;0;0;0;-0.55281;c;0002-07-21T00:00:00Z;sin comentario;1;37.175;12-12-2017 1:57;1
